3, {74 1000000}, {70 1999700}, {80 0}, {65 14927572642900}, {82 451194600}, {88 404214200}
5, {68 2000100}, {67 3000200}, {73 999600}, {71 14442993636500}, {79 558338100}, {88 496973300}
2, {66 3998900}, {68 1001800}, {74 999600}, {69 14826214721200}, {79 343603200}, {88 542971500}
9, {76 2000100}, {63 3000100}, {78 0}, {60 14180871544900}, {84 468403300}, {85 446977000}
0, {70 2000100}, {70 2999700}, {76 0}, {70 15253220490100}, {88 517225500}, {90 489973400}
6, {57 999200}, {71 2000100}, {81 0}, {54 14286606164800}, {84 832509000}, {89 547532900}
1, {71 2001800}, {76 1000100}, {80 999600}, {80 15238915066000}, {88 645059600}, {90 397101800}
1, {78 3998000}, {77 2001900}, {79 0}, {55 15160045173900}, {86 349104800}, {89 396979000}
4, {78 999600}, {63 2000100}, {76 0}, {64 14774285861900}, {81 475069700}, {87 551380400}
4, {74 4644400}, {77 2000500}, {78 999600}, {64 14614071719000}, {85 348980800}, {89 348219800}
5, {78 999600}, {68 2000100}, {74 0}, {72 14856989363800}, {83 527614400}, {87 441306600}
4, {67 3046700}, {75 2000200}, {83 1000900}, {73 14792067706400}, {80 657249700}, {92 789421000}
1, {74 1999700}, {75 3000200}, {80 0}, {73 15154147018200}, {83 450530700}, {87 444976100}
6, {60 1000000}, {71 3999800}, {76 0}, {76 14341870902400}, {83 398140800}, {86 375984700}
